Series0,
AXIS0,OUTPUT
Main.Studies.InverseDynamicStudy.Output.Abscissa.t,Main.Studies.InverseDynamicStudy.Output._Main.HumanModel.BodyModel.Left.Leg.Jnt.Ankle.Pos
 3.383401000000000e+00, 9.330844473267664e-03
 3.400068000000000e+00, 3.107013537251197e-02
 3.416735000000000e+00, 5.150750269370578e-02
 3.433402000000000e+00, 7.189156812079928e-02
 3.450069000000000e+00, 9.275264441574037e-02
 3.466736000000000e+00, 1.133931392646874e-01
 3.483403000000000e+00, 1.318332131424308e-01
 3.500070000000000e+00, 1.455713161963960e-01
 3.516737000000000e+00, 1.531852179965697e-01
 3.533404000000000e+00, 1.558219402490119e-01
 3.550071000000000e+00, 1.567069484628569e-01
 3.566738000000000e+00, 1.586773214130693e-01
 3.583405000000000e+00, 1.622903946210432e-01
 3.600072000000000e+00, 1.655744916102159e-01
 3.616739000000000e+00, 1.649266687117512e-01
 3.633406000000000e+00, 1.566964613657439e-01
 3.650073000000000e+00, 1.390484265301482e-01
 3.666740000000000e+00, 1.134505666310155e-01
 3.683407000000000e+00, 8.481700172724253e-02
 3.700074000000000e+00, 5.975816904032134e-02
 3.716741000000000e+00, 4.380752897908398e-02
 3.733408000000000e+00, 3.943727969900052e-02
 3.750075000000000e+00, 4.589334659670074e-02
 3.766742000000000e+00, 6.034448154198550e-02
 3.783409000000000e+00, 7.926378084966190e-02
 3.800076000000000e+00, 9.944346952053558e-02
 3.816743000000000e+00, 1.185623913191072e-01
 3.833410000000000e+00, 1.353618297276768e-01
 3.850077000000000e+00, 1.495171675217788e-01
 3.866744000000000e+00, 1.613579568185743e-01
 3.883411000000000e+00, 1.715787040434443e-01
 3.900078000000000e+00, 1.810009162872751e-01
 3.916745000000000e+00, 1.903980172021680e-01
 3.933412000000000e+00, 2.003903130874105e-01
 3.950079000000000e+00, 2.114059424613375e-01
 3.966746000000000e+00, 2.236840592520103e-01
 3.983413000000000e+00, 2.372941601914024e-01
 4.000080000000001e+00, 2.521538006732519e-01
 4.016747000000001e+00, 2.680358488574303e-01
 4.033414000000000e+00, 2.845719265162089e-01
 4.050081000000000e+00, 3.012858273391231e-01
 4.066748000000000e+00, 3.177040531058012e-01
 4.083415000000000e+00, 3.334468590260645e-01
 4.100082000000000e+00, 3.480239722568070e-01
 4.116749000000000e+00, 3.604693686242920e-01
 4.133416000000000e+00, 3.691976809128936e-01
 4.150083000000000e+00, 3.720038158035825e-01
 4.166750000000000e+00, 3.660223638953177e-01
 4.183417000000000e+00, 3.477336782736897e-01
 4.200084000000000e+00, 3.133777898524057e-01
 4.216751000000000e+00, 2.601543187180469e-01
 4.233418000000000e+00, 1.881130063057871e-01
 4.250085000000000e+00, 1.018827115329681e-01
 4.266752000000000e+00, 1.098778610206312e-02
 4.283419000000000e+00,-7.221818785978316e-02
 4.300086000000000e+00,-1.366313382962465e-01
 4.316753000000000e+00,-1.760928518600840e-01
 4.333420000000000e+00,-1.902487714585294e-01
 4.350087000000000e+00,-1.827503904690560e-01
 4.366754000000000e+00,-1.589413045378450e-01
 4.383421000000000e+00,-1.244188507511551e-01
 4.400088000000000e+00,-8.440859663757598e-02
 4.416755000000000e+00,-4.343238229982600e-02
 4.433422000000000e+00,-4.986387454160700e-03
 4.450089000000000e+00, 2.880855389266490e-02
 4.466756000000000e+00, 5.742452661157770e-02
 4.483423000000000e+00, 8.173759856746286e-02
 4.500090000000000e+00, 1.033301739430102e-01
 4.516757000000000e+00, 1.235020180420011e-01
 4.533424000000000e+00, 1.423655502528217e-01
 4.550091000000000e+00, 1.584035639039097e-01
 4.566758000000000e+00, 1.688842788204685e-01
 4.583425000000000e+00, 1.713573590211398e-01
 4.600092000000000e+00, 1.656032702351569e-01
 4.616759000000000e+00, 1.543100332584098e-01
 4.633426000000000e+00, 1.414471858019914e-01
 4.650093000000000e+00, 1.298361419800827e-01
 4.666760000000000e+00, 1.196843778712110e-01
 4.683427000000000e+00, 1.087187455774266e-01
 4.700094000000000e+00, 9.406453131226579e-02
 4.716761000000000e+00, 7.471087623946253e-02
 4.733428000000000e+00, 5.269135322029454e-02
 4.750095000000000e+00, 3.229493268563399e-02
 4.766762000000000e+00, 1.813180679964059e-02
 4.783429000000000e+00, 1.334114829114469e-02
 4.800096000000000e+00, 1.880114524794265e-02
 4.816763000000000e+00, 3.332934514775033e-02
 4.833430000000000e+00, 5.436655696208599e-02
 4.850097000000000e+00, 7.878554435387664e-02
 4.866764000000000e+00, 1.036367484739737e-01
 4.883431000000000e+00, 1.266536931287811e-01
 4.900098000000000e+00, 1.464487239348059e-01
 4.916765000000000e+00, 1.624827276829928e-01
 4.933432000000000e+00, 1.749136960353122e-01
 4.950099000000000e+00, 1.843853734201517e-01
 4.966766000000000e+00, 1.918083293540416e-01
 4.983433000000000e+00, 1.981769383815762e-01
 5.000100000000000e+00, 2.044302250821800e-01
 5.016767000000000e+00, 2.113500223110673e-01
 5.033434000000000e+00, 2.195026732121214e-01
 5.050101000000000e+00, 2.292258817783597e-01
 5.066768000000001e+00, 2.406449349718926e-01
 5.083435000000000e+00, 2.537013807648908e-01
 5.100102000000001e+00, 2.681805746433749e-01
 5.116769000000000e+00, 2.837255325464514e-01
 5.133436000000001e+00, 2.998486735757044e-01
 5.150103000000000e+00, 3.159800582816946e-01
 5.166770000000000e+00, 3.315013647239399e-01
 5.183437000000001e+00, 3.455918615665050e-01
 5.200104000000000e+00, 3.569731569803387e-01
 5.216771000000000e+00, 3.638332396526546e-01
 5.233438000000000e+00, 3.638790059372017e-01
 5.250105000000000e+00, 3.543664340561184e-01
 5.266772000000000e+00, 3.321339221791593e-01
 5.283439000000000e+00, 2.938697719602916e-01
 5.300106000000000e+00, 2.370365971390879e-01
 5.316773000000000e+00, 1.616941093994426e-01
 5.333440000000000e+00, 7.258658628244721e-02
 5.350107000000000e+00,-2.026953813372302e-02
 5.366774000000000e+00,-1.040072604010038e-01
 5.383441000000000e+00,-1.674644854730634e-01
 5.400108000000000e+00,-2.047959470743886e-01
 5.416775000000000e+00,-2.162118374668608e-01
 5.433442000000000e+00,-2.064048934144916e-01
 5.450109000000000e+00,-1.821406022057907e-01
 5.466775999999999e+00,-1.500759427271833e-01
 5.483443000000000e+00,-1.154225991282800e-01
 5.500110000000000e+00,-8.156144043083478e-02
 5.516777000000000e+00,-5.026047951629189e-02
 5.533444000000000e+00,-2.208914674145059e-02
 5.550111000000000e+00, 3.182386858342137e-03
 5.566778000000000e+00, 2.624249057227963e-02
 5.583445000000000e+00, 4.793197960677992e-02
 5.600112000000000e+00, 6.893832073776700e-02
 5.616779000000000e+00, 8.946183456425212e-02
 5.633446000000000e+00, 1.088691432047895e-01
 5.650113000000000e+00, 1.254970274499809e-01
 5.666780000000000e+00, 1.370029506522914e-01
 5.683447000000000e+00, 1.416101796493037e-01
 5.700114000000001e+00, 1.397269506345947e-01
 5.716781000000000e+00, 1.342662176549743e-01
 5.733448000000001e+00, 1.287871762480010e-01
 5.750115000000000e+00, 1.251554729539439e-01
 5.766782000000000e+00, 1.224145071437436e-01
 5.783449000000000e+00, 1.172948231824097e-01
 5.800116000000000e+00, 1.063172917906397e-01
 5.816783000000001e+00, 8.822319191638399e-02
 5.833450000000000e+00, 6.510019944949529e-02
 5.850117000000001e+00, 4.171392936698450e-02
 5.866784000000000e+00, 2.353485168170882e-02
 5.883451000000001e+00, 1.460762103500089e-02
 5.900118000000000e+00, 1.642777773495173e-02
 5.916785000000001e+00, 2.800865383259878e-02
 5.933452000000001e+00, 4.664431601968975e-02
 5.950119000000000e+00, 6.894737838683779e-02
 5.966786000000001e+00, 9.183452033704080e-02
 5.983453000000000e+00, 1.131431304500164e-01
 6.000120000000001e+00, 1.317749478646256e-01
 6.016787000000001e+00, 1.475227001069931e-01
 6.033454000000001e+00, 1.607824379459866e-01
 6.050121000000001e+00, 1.722617486603751e-01
 6.066788000000001e+00, 1.827356494500164e-01
 6.083455000000001e+00, 1.928875533686791e-01
 6.100122000000001e+00, 2.032432674441979e-01
 6.116789000000001e+00, 2.141705408251744e-01
 6.133456000000001e+00, 2.259080367580263e-01
 6.150123000000001e+00, 2.385975590628599e-01
 6.166790000000001e+00, 2.523043541165992e-01
 6.183457000000001e+00, 2.670190953614900e-01
 6.200124000000001e+00, 2.826470214369958e-01
 6.216791000000001e+00, 2.990221507490686e-01
 6.233458000000001e+00, 3.159809214293355e-01
 6.250125000000001e+00, 3.333344440924840e-01
 6.266792000000001e+00, 3.505340797178131e-01
 6.283459000000001e+00, 3.663503280777549e-01
 6.300126000000001e+00, 3.788664584083310e-01
 6.316793000000001e+00, 3.855644764629208e-01
 6.333460000000001e+00, 3.833234423180354e-01
 6.350127000000001e+00, 3.684384049575689e-01
 6.366794000000001e+00, 3.368976803302113e-01
 6.383461000000000e+00, 2.851953656341192e-01
 6.400128000000000e+00, 2.119207997565612e-01
 6.416795000000000e+00, 1.199937116869537e-01
 6.433462000000000e+00, 1.833756654028495e-02
 6.450129000000000e+00,-7.920148456140902e-02
 6.466796000000000e+00,-1.585022274244101e-01
 6.483463000000000e+00,-2.103643029771695e-01
 6.500130000000000e+00,-2.324970844164581e-01
 6.516797000000000e+00,-2.281949338513720e-01
 6.533464000000000e+00,-2.039757488566844e-01
 6.550131000000000e+00,-1.674422907907202e-01
 6.566798000000000e+00,-1.255953536511978e-01
 6.583465000000000e+00,-8.378987185950129e-02
 6.600132000000000e+00,-4.539313360572807e-02
 6.616799000000000e+00,-1.191413418646891e-02
 6.633466000000000e+00, 1.663502884442866e-02
 6.650133000000000e+00, 4.125288946356859e-02
 6.666800000000000e+00, 6.339982186129677e-02
 6.683467000000000e+00, 8.444785231452499e-02
 6.700134000000000e+00, 1.051762228428174e-01
 6.716801000000000e+00, 1.253859558927193e-01
 6.733468000000000e+00, 1.438004385569930e-01
 6.750135000000000e+00, 1.584804302889245e-01
 6.766802000000000e+00, 1.678442842487311e-01
 6.783469000000000e+00, 1.717793354075595e-01
 6.800136000000000e+00, 1.716842075479855e-01
 6.816803000000000e+00, 1.692115860408065e-01
 6.833470000000000e+00, 1.649815774229038e-01
 6.850137000000000e+00, 1.581013647695751e-01
 6.866804000000000e+00, 1.465580668198363e-01
 6.883471000000000e+00, 1.283513282392841e-01
 6.900138000000000e+00, 1.030306277110670e-01
 6.916805000000000e+00, 7.297597896260231e-02
 6.933472000000000e+00, 4.344823648654364e-02
 6.950139000000000e+00, 2.082530537088639e-02
 6.966806000000000e+00, 9.870742390465554e-03
 6.983473000000000e+00, 1.192583643836760e-02
 7.000140000000000e+00, 2.507498185310651e-02
 7.016807000000000e+00, 4.562587120973352e-02
 7.033474000000000e+00, 6.964121465622529e-02
 7.050141000000000e+00, 9.388478019723447e-02
 7.066808000000000e+00, 1.162089707072453e-01
 7.083475000000000e+00, 1.355642853597909e-01
 7.100142000000000e+00, 1.517695398040421e-01
 7.116809000000000e+00, 1.651907459583457e-01
 7.133476000000000e+00, 1.764586533964392e-01
 7.150143000000000e+00, 1.862762212413385e-01
 7.166810000000000e+00, 1.953057194932230e-01
 7.183477000000000e+00, 2.041112462113467e-01
 7.200144000000000e+00, 2.131369569259335e-01
 7.216811000000001e+00, 2.227089249757170e-01
 7.233478000000000e+00, 2.330556699507391e-01
 7.250145000000000e+00, 2.443374652059593e-01
 7.266812000000000e+00, 2.566652605628200e-01
 7.283479000000000e+00, 2.700919238853609e-01
 7.300146000000000e+00, 2.845786005868513e-01
 7.316813000000000e+00, 2.999860764912106e-01
 7.333480000000001e+00, 3.161245209901843e-01
 7.350147000000000e+00, 3.326731050142971e-01
 7.366814000000000e+00, 3.488370407209360e-01
 7.383481000000001e+00, 3.631215218979231e-01
 7.400148000000001e+00, 3.733934911508558e-01
 7.416815000000001e+00, 3.769826825806480e-01
 7.433482000000000e+00, 3.707106809354666e-01
 7.450149000000001e+00, 3.510215009175539e-01
 7.466816000000001e+00, 3.145175740676510e-01
 7.483483000000001e+00, 2.590914072791045e-01
 7.500150000000001e+00, 1.854991927901122e-01
 7.516817000000001e+00, 9.880249633740235e-02
 7.533484000000001e+00, 8.558177080928705e-03
 7.550151000000000e+00,-7.339026491326600e-02
 7.566818000000000e+00,-1.369332176242722e-01
 7.583485000000000e+00,-1.768120803677225e-01
 7.600152000000000e+00,-1.929339279131715e-01
 7.616819000000000e+00,-1.888252673940181e-01
 7.633486000000000e+00,-1.698678279877793e-01
 7.650153000000000e+00,-1.418484228344047e-01
 7.666820000000000e+00,-1.098014832815877e-01
 7.683487000000000e+00,-7.730258428080537e-02
 7.700154000000000e+00,-4.634084430063135e-02
 7.716821000000000e+00,-1.761739981441560e-02
 7.733488000000000e+00, 8.997054629303570e-03
 7.750155000000000e+00, 3.402340467211171e-02
 7.766822000000000e+00, 5.799755227735953e-02
 7.783489000000000e+00, 8.112242474874801e-02
 7.800156000000000e+00, 1.029489943235506e-01
 7.816823000000000e+00, 1.222178878563288e-01
 7.833490000000000e+00, 1.370947840361638e-01
 7.850157000000000e+00, 1.459365967502069e-01
 7.866824000000000e+00, 1.483752554343707e-01
 7.883491000000000e+00, 1.458524440436003e-01
 7.900158000000001e+00, 1.405645991124946e-01
 7.916825000000000e+00, 1.335921887206914e-01
 7.933492000000000e+00, 1.241706665591571e-01
 7.950159000000000e+00, 1.104736442702050e-01
 7.966826000000000e+00, 9.115429765207569e-02
 7.983493000000000e+00, 6.667906181564437e-02
 8.000160000000001e+00, 3.968245013904301e-02
 8.016827000000001e+00, 1.430172332924477e-02
 8.033494000000001e+00,-4.999346694487804e-03
 8.050160999999999e+00,-1.471476438927774e-02
 8.066828000000001e+00,-1.337492680786978e-02
 8.083495000000001e+00,-1.925024268405165e-03
 8.100162000000001e+00, 1.686417941170753e-02
 8.116828999999999e+00, 3.955356044782734e-02
 8.133496000000001e+00, 6.305852670077794e-02
 8.150162999999999e+00, 8.517539926548927e-02
 8.166830000000001e+00, 1.046826662750090e-01
 8.183496999999999e+00, 1.212047546454377e-01
 8.200164000000001e+00, 1.349679527217057e-01
 8.216830999999999e+00, 1.465407563310158e-01
 8.233498000000001e+00, 1.566230864789963e-01
 8.250165000000001e+00, 1.659017166173034e-01
 8.266832000000001e+00, 1.749627227597408e-01
 8.283498999999999e+00, 1.842556149689451e-01
 8.300166000000001e+00, 1.941036715670456e-01
 8.316833000000001e+00, 2.047430639508173e-01
 8.333500000000001e+00, 2.163664561157191e-01
 8.350166999999999e+00, 2.291488623606390e-01
 8.366834000000001e+00, 2.432444886015857e-01
 8.383501000000001e+00, 2.587682389180148e-01
 8.400168000000001e+00, 2.758126815320326e-01
 8.416834999999999e+00, 2.944987302578335e-01
 8.433502000000001e+00, 3.148391823778754e-01
 8.450169000000001e+00, 3.363480575659744e-01
 8.466836000000001e+00, 3.578171169482119e-01
 8.483503000000001e+00, 3.773863932331996e-01
 8.500170000000001e+00, 3.926820334128081e-01
 8.516836999999999e+00, 4.008988275637089e-01
 8.533504000000001e+00, 3.988163693656313e-01
 8.550171000000001e+00, 3.828447627174772e-01
 8.566838000000001e+00, 3.493400424108217e-01
 8.583504999999999e+00, 2.954808909762329e-01
 8.600172000000001e+00, 2.208074690862057e-01
 8.616839000000001e+00, 1.290602989916099e-01
 8.633506000000001e+00, 2.918424666820119e-02
 8.650173000000001e+00,-6.603864709002973e-02
 8.666840000000001e+00,-1.439333213314869e-01
 8.683507000000001e+00,-1.960188310616296e-01
 8.700174000000001e+00,-2.196876270751164e-01
 8.716841000000001e+00,-2.174620204158726e-01
 8.733508000000000e+00,-1.952563616226774e-01
 8.750175000000000e+00,-1.604129126307040e-01
 8.766842000000000e+00,-1.198281371407434e-01
 8.783509000000000e+00,-7.868132218479169e-02
 8.800176000000000e+00,-4.008254491875941e-02
 8.816843000000000e+00,-5.400378737518112e-03
 8.833510000000000e+00, 2.518930343468552e-02
 8.850177000000000e+00, 5.221855673590528e-02
 8.866844000000000e+00, 7.655233501117577e-02
 8.883511000000000e+00, 9.904402927242653e-02
 8.900178000000000e+00, 1.201724527081007e-01
 8.916845000000000e+00, 1.397484004313851e-01
 8.933512000000000e+00, 1.568797090851964e-01
 8.950179000000000e+00, 1.703113511331462e-01
 8.966846000000000e+00, 1.790384607595861e-01
 8.983513000000000e+00, 1.827879072728238e-01
 9.000180000000000e+00, 1.818593019585251e-01
 9.016847000000000e+00, 1.764551459760277e-01
 9.033514000000000e+00, 1.662421782830330e-01
 9.050181000000000e+00, 1.505483926699005e-01
 9.066848000000000e+00, 1.290795165420796e-01
 9.083515000000000e+00, 1.026956670553880e-01
 9.100182000000000e+00, 7.376160531295692e-02
 9.116849000000000e+00, 4.590560585230086e-02
 9.133516000000000e+00, 2.328072391411259e-02
